1916	8	28	TAIWAN	23.700	120.900		6.5	8	180
1916	9	11	INDONESIA	-9.000	113.000	100	7.3		
1916	10	31	RUSSIA:  KURIL ISLANDS	46.500	160.000	60	7.7		
1916	11	14	TAIWAN	24.000	121.000		6.0		1
1917	1	4	TAIWAN:  PULI	23.900	120.900		6.3		54
1917	1	20	INDONESIA:  BALI	-7.000	116.000		6.6	9	1500
1917	1	24	CHINA:  ANHUI PROVINCE:	31.300	116.200		6.3	8	
1917	1	25	CHINA:  FUJIAN PROVINCE: OFF COAST	24.470	118.080		6.5		
1917	1	29	BALKANS NW:  SLOVENIA:  BREZICE	45.900	15.600	13	5.6	8	
1917	1	30	RUSSIA:  KAMCHATKA	56.500	163.000	40	7.8		
1917	1	31	PHILIPPINES:  S MINDANAO:  GLAN,GLAN PADIDU,TUYAN	6.000	125.000		6.4	9	7
1917	4	26	ITALY:  CITERNA	43.500	12.100	33	5.5	10	
1917	5	1	KERMADEC ISLANDS	-29.200	-177.000		8.0		
1917	5	6	TAIWAN	23.200	121.600	33	5.8		
1917	5	31	ALASKA:  ALASKA PENINSULA	54.790	-169.120		7.9	5	
1917	6	8	EL SALVADOR:  SAN SALVADOR	13.820	-89.310		6.7		
1917	6	26	SAMOA ISLANDS	-15.500	-173.000	25	8.3		
1917	7	4	TAIWAN:  NE OF TAIWAN	25.000	123.000	60	7.7		
1917	7	29	PAPUA NEW GUINEA	-3.000	143.500		7.7		
1917	7	30	CHINA:  YUNNAN PROVINCE	28.000	104.000	33	6.8	9	1800
1917	7	31	CHINA:  JILIN PROVINCE	42.500	131.000	460	7.5		
1917	8	30	INDONESIA:  BANDA SEA	-7.500	128.000	100	7.8		
1917	8	31	COLOMBIA:  BOGOTA, UBAQUE, SOACHA, CAQUEZA	4.000	-74.000	40	7.3	8	6
1917	11	16	KERMADEC ISLANDS:  S OF	-29.000	-177.500	60	7.5		
1917	12	26	GUATEMALA:  GUATEMALA CITY	14.600	-90.600		6.0		2650
1917	12	29	MEXICO:  NEAR OAXACA COAST	15.000	-97.000	33	7.7		
1918	1	30	RUSSIA:  E COAST OF	45.400	136.500	350	7.7		
1918	2	7	PHILIPPINES:  MINDANAO	6.500	126.500	120	7.5	7	
1918	2	13	CHINA:  GUANGDONG PROVINCE	23.500	117.200	23	7.3	10	2000
1918	4	21	CALIFORNIA	33.700	-117.000		6.8		
1918	5	20	CHILE:  NORTHERN	-28.500	-71.500	80	7.9		
1918	7	3	PAPUA NEW GUINEA:  N COAST	-3.500	142.500	60	7.5		
1918	7	8	BANGLADESH:  SRIMANGAL	24.500	91.000	60	7.6		
1918	8	14	CHINA:  YUNNAN PROVINCE	26.900	103.000		5.5	7	
1918	8	15	PHILIPPINES:  MINDANAO:  COTABATO	5.500	123.000	33	8.3	10	46
1918	9	7	RUSSIA:  KURIL ISLANDS	45.500	151.500	33	8.3		
1918	10	11	PUERTO RICO:  MONA PASSAGE	18.500	-67.500	60	7.3	9	
1918	11	8	RUSSIA:  KURIL ISLANDS	44.500	151.500	25	7.8		
1918	11	18	INDONESIA:  BANDA SEA	-7.000	129.000	190	8.1		
1918	12	4	CHILE:  COPIAPO	-26.000	-71.000		7.8		
1919	1	1	PHILIPPINES:  MINDANAO ISLAND	8.000	126.000	33	7.4	7	
1919	1	1	FIJI ISLANDS	-19.500	-176.500	180	8.3		
1919	4	28	EL SALVADOR:  SAN SALVADOR	13.690	-89.190		5.9		
1919	4	30	TONGA ISLANDS	-18.352	-172.515	25	8.1		
1919	5	3	JAPAN:  OFF EAST COAST HONSHU	40.500	145.500	60	7.6		
